Wall time,Step,Value,Value
1702205588,323,-983.0465698,40.375
1702205600,633,-983.4378662,39.5625
1702205610,931,-991.8873291,38.79166794
1702205614,1082,-990.6549683,38.6428566
1702205621,1372,-991.9515381,38.11111069
1702205627,1662,-985.9331055,37.77272797
1702205630,1814,-985.8018799,37.79166794
1702205633,1955,-985.6739502,37.59615326
1702205638,2106,-987.2783203,37.6071434
1702205641,2257,-988.6890869,37.61666489
1702205645,2409,-989.9120483,37.640625
1702205648,2562,-990.9956665,37.67647171
1702205652,2709,-990.6566162,37.625
1702205655,2859,-987.6827393,37.61841965
1702205658,3002,-985.0032349,37.52500153
1702205661,3148,-983.7438965,37.47618866
1702205667,3447,-984.7959595,37.46739197
1702205675,3752,-986.6654663,37.52000046
1702205678,3901,-987.6862793,37.49000168
1702205684,4201,-986.7224121,37.22999954
1702205693,4652,-982.6814575,37.20999908
1702205696,4802,-983.6972046,37.20000076
1702205699,4945,-984.6938477,37.16999817
1702205703,5094,-984.6992798,37.22000122
1702205707,5248,-985.670105,37.31000137
1702205714,5556,-988.6420898,37.41999817
1702205724,6016,-986.5922852,37.59000015
1702205727,6162,-984.6143799,37.52999878
1702205734,6457,-981.5623169,37.47999954
1702205737,6598,-982.5448608,37.38999939
1702205740,6752,-985.5249023,37.5
1702205743,6902,-987.5377808,37.54000092
1702205746,7056,-986.569397,37.61000061
1702205749,7204,-987.5643311,37.56999969
1702205754,7496,-986.6033325,37.43999863
1702205757,7641,-987.6089478,37.40000153
1702205767,8092,-988.6038208,37.41999817
1702205769,8243,-988.6845703,37.40999985
1702205772,8398,-990.6405029,37.45999908
1702205776,8548,-990.6539917,37.45999908
1702205779,8708,-987.6138306,37.63000107
1702205788,9155,-986.6640015,37.56000137
1702205791,9304,-986.6474609,37.47999954
1702205794,9451,-986.6676025,37.38999939
1702205797,9596,-986.6655884,37.31000137
1702205799,9721,-987.6688843,37.04999924
1702205802,9857,-989.5910034,36.95000076
1702205805,9975,-989.5899658,36.65999985
1702205807,10102,-990.5612183,36.45000076
1702205811,10234,-991.479126,36.36000061
1702205813,10363,-988.4352417,36.11000061
1702205818,10611,-987.3799438,35.54999924
1702205821,10738,-986.3296509,35.34000015
1702205824,10866,-985.2874756,35.13999939
1702205826,10996,-985.2561646,35
1702205831,11254,-985.161377,34.65999985
1702205837,11509,-985.0764771,34.16999817
1702205839,11633,-985.0094604,33.90000153
1702205844,11891,-986.8861694,33.43000031
1702205847,12012,-988.9021606,33.04000092
1702205852,12268,-986.7787476,32.59000015
1702205855,12391,-986.7573853,32.36000061
1702205857,12522,-986.7032471,32.18000031
1702205860,12647,-986.6693726,31.95999908
1702205862,12775,-987.6593018,31.79000092
1702205866,12909,-987.6085815,31.87999916
1702205872,13159,-986.5923462,31.84000015
1702205874,13288,-988.6056519,31.86000061
1702205877,13413,-989.637085,31.79000092
1702205879,13538,-992.6564331,31.75
1702205884,13791,-993.6252441,31.79999924
1702205892,14171,-994.6262817,31.75
1702205895,14308,-993.6015625,31.79999924
1702205897,14437,-994.6158447,31.82999992
1702205900,14563,-994.6297607,31.79999924
1702205905,14816,-993.6082764,31.82999992
1702205907,14936,-993.6530762,31.76000023
1702205910,15065,-993.6697388,31.73999977
1702205918,15451,-995.6251221,31.82999992
1702205921,15574,-996.628479,31.82999992
1702205928,15952,-996.6208496,31.77000046
1702205936,16329,-997.6752319,31.70000076
1702205938,16455,-997.6852417,31.67000008
1702205941,16580,-997.6896362,31.67000008
1702205944,16709,-997.675415,31.70999908
1702205947,16835,-996.6405029,31.77000046
1702205955,17225,-995.6611328,31.76000023
1702205958,17356,-996.6525879,31.85000038
1702205960,17482,-997.7043457,31.73999977
1702205963,17609,-997.7040405,31.71999931
1702205965,17743,-995.7027588,31.79999924
1702205971,17993,-993.7156372,31.77000046
1702205973,18124,-993.6633301,31.87999916
1702205981,18500,-993.6885986,31.75
1702205989,18881,-991.6914673,31.79000092
1702205992,19004,-991.692688,31.79999924
1702205997,19259,-988.7003784,31.78000069
1702206002,19506,-989.6968384,31.77000046
