Wall time,Step,Value,Value
1700527282,143,-1007.115417,35.75
1700527283,268,-1007.736511,33.5
1700527285,519,-1001.464355,32.4375
1700527288,777,-999.309082,32.375
1700527289,899,-997.043396,32.1071434
1700527291,1031,-995.2095947,32.21875
1700527292,1161,-993.831543,32.25
1700527294,1285,-995.2570801,32.125
1700527295,1413,-994.1025391,32.11363602
1700527297,1543,-993.1273193,32.14583206
1700527298,1672,-992.2912598,32.15384674
1700527300,1798,-991.5751343,32.1071434
1700527302,1926,-992.6569824,32.09999847
1700527303,2047,-993.6486816,31.984375
1700527305,2175,-994.4276733,31.98529434
1700527307,2304,-993.7757568,32
1700527309,2426,-994.5279541,31.92105293
1700527310,2548,-995.2277832,31.85000038
1700527312,2673,-993.4199829,31.8214283
1700527314,2793,-994.0865479,31.73863602
1700527315,2919,-992.4904785,31.72826004
1700527317,3048,-993.1206665,31.75
1700527319,3172,-993.7075806,31.71999931
1700527320,3301,-992.7368774,31.57999992
1700527324,3554,-991.710022,31.61000061
1700527329,3937,-992.7316284,31.60000038
1700527331,4066,-992.6793823,31.67000008
1700527333,4197,-992.6615601,31.65999985
1700527334,4324,-992.6588135,31.62999916
1700527336,4449,-991.664917,31.63999939
1700527340,4707,-993.6424561,31.63999939
1700527341,4833,-993.6593018,31.61000061
1700527343,4957,-992.6848755,31.59000015
1700527345,5083,-990.6837769,31.56999969
1700527346,5205,-990.6702881,31.57999992
1700527349,5456,-989.696167,31.52000046
1700527350,5586,-989.668335,31.60000038
1700527352,5716,-988.6239624,31.68000031
1700527353,5839,-987.6516724,31.65999985
1700527354,5963,-987.6429443,31.70000076
1700527356,6087,-989.6803589,31.68000031
1700527358,6337,-986.6813354,31.64999962
1700527360,6464,-987.6777954,31.62999916
1700527363,6712,-986.6665649,31.57999992
1700527365,6835,-986.6765747,31.51000023
1700527366,6956,-984.7201538,31.43000031
1700527368,7085,-984.6904907,31.47999954
1700527370,7215,-984.7023315,31.48999977
1700527371,7337,-984.7418823,31.39999962
1700527375,7587,-984.7105713,31.37999916
1700527377,7711,-984.7149658,31.37000084
1700527379,7836,-983.7633057,31.29000092
