Wall time,Step,Value,Value
1702177646,172,-1008.39032,43
1702177651,318,-996.6740723,39.75
1702177657,568,-989.734314,35.5
1702177660,706,-983.3134155,35.29999924
1702177667,844,-987.5487061,35.16666794
1702177670,992,-990.5116577,35.42856979
1702177675,1143,-992.734314,35.71875
1702177678,1301,-994.4503784,36.13888931
1702177684,1462,-983.3934326,36.54999924
1702177689,1625,-983.427124,36.93181992
1702177693,1805,-983.4523315,37.60416794
1702177696,1954,-983.4370728,37.57692337
1702177700,2100,-985.1751709,37.5
1702177704,2289,-983.4276733,38.15000153
1702177708,2434,-983.4179077,38.03125
1702177712,2582,-983.4326782,37.97058868
1702177715,2721,-982.0015259,37.79166794
1702177718,2865,-982.0881958,37.69736862
1702177723,3014,-982.1575317,37.67499924
1702177727,3164,-983.401123,37.66666794
1702177730,3322,-983.4109497,37.75
1702177734,3484,-982.3167114,37.86956406
1702177738,3631,-981.3029785,37.82291794
1702177742,3818,-982.4313354,38.18000031
1702177746,3971,-980.3927612,37.99000168
1702177750,4108,-980.2938843,37.90000153
1702177753,4252,-980.2822876,38.11999893
1702177760,4551,-983.2966309,38.45000076
1702177763,4691,-982.2841797,38.47000122
1702177766,4832,-980.2423706,38.40000153
1702177769,4979,-978.1849365,38.36000061
1702177772,5139,-977.2105103,38.38000107
1702177776,5317,-979.2211304,38.54999924
1702177780,5485,-980.2049561,38.59999847
1702177783,5637,-980.168335,38.31999969
1702177787,5788,-979.1098022,38.34000015
1702177791,5947,-979.1434937,38.47000122
1702177794,6106,-978.0557251,38.16999817
1702177798,6241,-976.0144043,38.06999969
1702177803,6490,-975.9970093,37.68999863
1702177806,6616,-975.9329224,37.50999832
1702177809,6744,-976.8778076,37.29999924
1702177814,6895,-975.8790283,37.31000137
1702177817,7031,-975.802002,37.09000015
1702177820,7155,-977.7890625,36.70999908
1702177823,7295,-978.7719116,36.63999939
1702177828,7445,-977.7073975,36.27000046
1702177831,7590,-977.7009277,36.18999863
1702177835,7732,-978.7498169,36.24000168
1702177838,7867,-977.7658081,36.15000153
1702177842,8059,-975.8237915,36.59999847
1702177846,8218,-974.7788696,36.66999817
1702177852,8435,-975.8256226,37.43999863
1702177857,8653,-977.8826904,38.20999908
1702177862,8900,-978.9979248,39.20999908
1702177868,9160,-976.9684448,40.20999908
1702177876,9465,-980.1121826,41.47999954
1702177884,9835,-980.3113403,43.5
1702177893,10131,-979.3693237,44.93999863
1702177905,10719,-979.6799927,49.31000137
1702177915,11094,-978.8966064,51.47000122
1702177924,11487,-982.2597046,53.81000137
1702177934,11931,-984.5991211,56.90000153
1702177946,12298,-985.8408203,59.33000183
1702177958,12812,-977.0709839,63.22000122
1702177967,13149,-978.3249512,65.33000183
1702177973,13383,-976.3900146,66.38999939
1702177992,14187,-976.012146,71.55999756
1702178004,14525,-972.1352539,73.69999695
1702178014,14875,-970.2064209,75.80000305
1702178025,15364,-971.4837036,79.19000244
1702178038,15795,-972.8945313,82.05000305
1702178052,16346,-973.28125,86.13999939
1702178063,16804,-972.4939575,89.37000275
1702178076,17192,-972.5830078,91.33000183
1702178086,17633,-972.9206543,94.15000153
1702178100,18164,-962.0426025,97.29000092
1702178113,18630,-949.2454224,99.76999664
1702178131,19428,-930.4019165,105.2799988
1702178180,21242,-865.0231323,117.7699966
1702178203,22202,-824.1964111,123.6699982
1702178224,22983,-807.0161743,128.5200043
1702178249,23906,-780.6202393,131.8699951
1702178274,24821,-752.7142334,137.2700043
1702178313,25781,-711.9060669,142.9400024
1702178340,26714,-682.1608276,147.8300018
1702178366,27674,-641.1322021,153.7599945
1702178390,28634,-608.520752,158.2200012
1702178412,29594,-565.8347168,164.4499969
1702178435,30554,-527.0614624,171.7100067
1702178458,31514,-486.9262085,178.4499969
1702178480,32474,-446.7833862,182.8699951
1702178502,33434,-406.3157349,189.0899963
1702178523,34394,-366.4622192,195.1900024
1702178545,35354,-321.7805481,199.8999939
1702178567,36314,-279.8215942,205.1900024
1702178590,37274,-235.2378387,209.2799988
1702178614,38234,-197.6740112,214.3000031
1702178638,39194,-156.8643494,220.0200043
1702178662,40154,-118.1166763,225.2100067
1702178686,41114,-87.45516968,229.5
1702178709,42074,-58.00317001,234.4400024
1702178732,43034,-36.12372208,236.0599976
1702178757,43994,-27.55307579,236.0599976
1702178782,44954,-13.94823742,237.1199951
1702178807,45914,-13.15867138,237.1199951
1702178832,46874,14.74932289,238.9100037
1702178857,47834,30.27773666,239.2799988
1702178883,48794,43.75031281,239.7299957
1702178908,49754,46.00925446,239.7299957
1702178936,50714,57.88382721,240
1702178963,51674,60.12771225,240
1702178988,52634,61.9252739,240
1702179014,53594,63.18485641,240
1702179040,54554,63.21405029,240
1702179066,55514,63.52836609,240
1702179089,56457,57.54275894,239.8300018
1702179114,57417,53.16251373,239.8300018
1702179139,58377,52.15342331,239.8300018
1702179163,59263,39.84366226,239.0899963
1702179186,60223,41.10936356,239.0899963
1702179210,61183,40.91191864,239.0899963
1702179234,62143,45.38313293,239.0899963
1702179283,64063,46.60528564,239.0899963
1702179305,64920,42.31106567,238.0599976
1702179328,65813,30.54639816,237.3899994
1702179389,67733,26.06011963,237.3899994
1702179415,68693,27.32080841,237.3899994
1702179441,69628,26.95582581,237.1399994
1702179464,70588,26.7267704,237.1399994
1702179489,71548,28.99137306,237.1399994
1702179514,72508,36.48176193,237.1399994
1702179540,73468,46.43883896,237.1399994
1702179563,74332,38.53278351,236.1799927
1702179585,75292,42.63626099,236.1799927
1702179608,76252,48.96700668,236.1799927
1702179631,77212,47.49928665,236.1799927
1702179654,78172,54.53600693,236.1799927
1702179678,79132,63.91059494,236.1799927
1702179701,80092,75.07910919,236.3500061
1702179749,82012,91.13215637,236.3500061
1702179773,82972,108.861145,237.0899963
1702179797,83919,105.5435715,236.9600067
1702179821,84879,112.2952423,236.9600067
1702179869,86799,131.3711548,236.9600067
1702179892,87759,144.2574615,236.9600067
1702179916,88719,161.6659546,237.9900055
1702179939,89679,186.8954773,238.6600037
