Wall time,Step,Reward,Length
1702160818,2048,-990.5855713,41.51020432
1702160827,4096,-984.6764526,40.84999847
1702160832,6144,-979.2642212,40.43999863
1702160838,8192,-979.0983887,41.27999878
1702160844,10240,-987.2634277,42.27999878
1702160849,12288,-991.5819702,43.68000031
1702160856,14336,-985.4696045,42.22999954
1702160861,16384,-982.774353,42.09000015
1702160867,18432,-989.1073608,44.22000122
1702160872,20480,-991.0838013,43.93000031
1702160878,22528,-988.116272,43.90999985
1702160884,24576,-985.0149536,43.40000153
1702160889,26624,-991.5845947,42.27999878
1702160895,28672,-986.6430664,42.45999908
1702160900,30720,-988.1177979,43.68000031
1702160906,32768,-987.059021,43.88999939
1702160911,34816,-982.9747925,44.63999939
1702160916,36864,-984.7907104,44.24000168
1702160922,38912,-990.6731567,43.86999893
1702160928,40960,-984.7486572,42.70000076
1702160933,43008,-978.7498169,42.75
1702160939,45056,-982.8467407,44.70999908
1702160944,47104,-988.9026489,44.16999817
1702160950,49152,-994.8595581,43.88000107
1702160955,51200,-993.7158813,42.97000122
1702160960,53248,-989.6934204,42.86999893
1702160966,55296,-987.8944702,43.86000061
1702160971,57344,-995.0488892,44.45000076
1702160977,59392,-993.9644165,44.38999939
1702160982,61440,-997.9772339,44.68999863
1702160988,63488,-992.8566284,43.75
1702160993,65536,-987.6314697,43.41999817
1702160998,67584,-992.829834,44.77000046
1702161004,69632,-985.8040161,44.40000153
1702161010,71680,-980.9712524,43.36000061
1702161015,73728,-982.9122314,43.72999954
1702161021,75776,-985.4544678,44.04000092
1702161026,77824,-989.0955811,42.83000183
1702161031,79872,-986.3251953,42.38000107
1702161037,81920,-979.4890747,42.25
1702161042,83968,-985.6012573,43.36000061
1702161048,86016,-987.7922363,44.29999924
1702161053,88064,-981.0067139,45
1702161059,90112,-981.2103882,45.77999878
1702161064,92160,-981.0237427,46.22000122
1702161069,94208,-979.0527344,47.25999832
1702161075,96256,-974.0919189,47.13999939
1702161080,98304,-971.3826904,47.34000015
1702161085,100352,-981.6871948,50.27000046
1702161090,102400,-981.9327393,51.66999817
1702161096,104448,-976.3588257,52.58000183
1702161101,106496,-977.9158936,54.59999847
1702161106,108544,-979.0248413,56.84999847
1702161112,110592,-975.5820313,60.34999847
1702161117,112640,-974.0864258,63.52000046
1702161122,114688,-983.5952759,65.5
1702161128,116736,-986.1229248,69.04000092
1702161133,118784,-994.8414307,73.61000061
1702161139,120832,-989.3674927,77.06999969
1702161144,122880,-969.9812012,82.54000092
1702161150,124928,-960.0879517,89.69000244
1702161156,126976,-954.664856,93.51000214
1702161161,129024,-916.0435791,101.0400009
1702161167,131072,-898.4137573,108.8600006
1702161173,133120,-864.687561,118.4599991
1702161179,135168,-837.2196045,129.4100037
1702161184,137216,-792.8083496,138.3600006
1702161191,139264,-795.9655762,143.1100006
1702161196,141312,-746.1226196,149.8200073
1702161203,143360,-716.8434448,157.2100067
1702161209,145408,-707.1663818,162.3399963
1702161214,147456,-662.0827026,166.9900055
1702161220,149504,-616.9049072,171.3399963
1702161226,151552,-580.2089233,178.6900024
1702161232,153600,-551.791687,183.3399963
1702161237,155648,-544.6503906,184.1399994
1702161242,157696,-444.3679504,194.7700043
1702161248,159744,-377.2808533,201.8099976
1702161254,161792,-328.9438782,206.5899963
1702161260,163840,-278.9715576,212.5200043
1702161266,165888,-212.2333374,216.8699951
1702161271,167936,-153.5727844,220.1600037
1702161277,169984,-105.590332,223.1699982
1702161282,172032,-55.90148926,226.6900024
1702161288,174080,7.550712585,227.9299927
1702161294,176128,68.52644348,230.9700012
1702161300,178176,147.9469147,236.6300049
1702161306,180224,175.7402039,237.2899933
1702161312,182272,215.5113678,238.4799957
1702161317,184320,244.6340027,238.75
1702161323,186368,263.1456299,238.75
1702161329,188416,287.8713379,238.7700043
1702161334,190464,305.0162354,238.7700043
1702161340,192512,330.2680054,238.3200073
1702161345,194560,343.5527649,238.3200073
1702161351,196608,351.3543091,237.6300049
1702161357,198656,368.2182007,237.6300049
1702161362,200704,380.2326965,237.4700012
1702161368,202752,371.1015015,237.1100006
1702161374,204800,388.9770203,237.1100006
1702161379,206848,390.1221619,237.1100006
1702161385,208896,397.2344971,237.1100006
1702161391,210944,420.0704041,237.1100006
1702161397,212992,403.9920044,236.2100067
1702161402,215040,418.8338318,236.3999939
1702161408,217088,438.8598633,237.8899994
1702161414,219136,442.4273071,237.6600037
1702161420,221184,447.7500305,237.6600037
1702161426,223232,443.0506897,237.0099945
1702161431,225280,459.287262,237.1699982
1702161436,227328,476.2880554,237.5299988
1702161442,229376,483.3240967,237.5299988
1702161448,231424,496.7847595,236.7899933
1702161455,233472,501.7428894,236.7899933
1702161460,235520,530.0730591,237.6900024
1702161466,237568,539.190979,237.6900024
1702161473,239616,549.8336792,237.6900024
1702161480,241664,550.008667,237.6499939
1702161486,243712,565.2990112,238.5700073
1702161492,245760,575.7467651,238.5700073
1702161498,247808,580.7946777,239.2200012
1702161505,249856,585.0768433,238.6699982
1702161510,251904,584.2861328,238.6699982
1702161516,253952,593.4854736,238.6699982
1702161522,256000,611.0460815,239.4100037
1702161528,258048,616.2557983,239.4100037
1702161534,260096,612.1876221,238.3999939
1702161540,262144,616.2744751,238.3999939
1702161546,264192,613.8101196,238.3999939
1702161552,266240,629.2692261,238.4400024
1702161558,268288,623.1670532,238.4400024
1702161563,270336,627.1866455,238.4400024
1702161569,272384,619.5523682,236.6799927
1702161574,274432,619.4682007,236.1399994
1702161580,276480,625.517334,236.1399994
1702161587,278528,624.5910034,236.1399994
1702161593,280576,632.477356,236.1399994
1702161600,282624,650.9033203,237.1499939
1702161606,284672,658.1374512,237.1499939
1702161612,286720,657.0654297,237.1499939
1702161618,288768,662.6620483,237.1499939
1702161625,290816,660.6989136,237.1499939
1702161631,292864,665.6212158,237.1499939
1702161637,294912,670.4276733,237.1499939
1702161643,296960,693.4770508,238.9100037
1702161649,299008,708.5384521,240
1702161655,301056,712.7896118,240
1702161662,303104,711.4871216,240
1702161668,305152,713.4408569,240
1702161674,307200,714.5253906,240
1702161680,309248,721.6937866,240
1702161686,311296,721.6028442,240
1702161692,313344,727.4793091,240
1702161698,315392,738.713623,240
1702161705,317440,735.8878784,240
1702161711,319488,732.8217773,240
1702161718,321536,736,240
1702161724,323584,743.1523438,240
1702161730,325632,752.5334473,240
1702161736,327680,752.7702637,240
1702161741,329728,746.901062,240
1702161747,331776,737.8578491,240
1702161753,333824,739.6994629,240
1702161759,335872,747.0209351,240
1702161765,337920,739.9055176,239.5
1702161770,339968,734.9994507,239.5
1702161776,342016,735.1449585,239.5
1702161782,344064,729.9992676,239.5
1702161788,346112,734.9567261,239.5
1702161794,348160,721.470459,239.5
1702161800,350208,714.928772,239.5
1702161805,352256,708.6536865,239.5
1702161811,354304,710.6123047,239.5
1702161817,356352,721.7975464,239.5
1702161823,358400,714.9126587,239.5
1702161829,360448,711.6644897,239.5
1702161834,362496,728.8286133,240
1702161840,364544,734.8769531,240
1702161846,366592,740.920105,240
1702161852,368640,758.3468628,240
1702161858,370688,760.5966187,240
1702161863,372736,774.8480225,240
1702161869,374784,778.1773071,240
1702161875,376832,790.4382935,240
1702161881,378880,794.6502686,240
1702161887,380928,802.4098511,240
1702161893,382976,811.6584473,240
1702161898,385024,807.4221191,240
1702161904,387072,815.2506104,240
1702161910,389120,815.0081177,240
1702161916,391168,817.9915161,240
1702161922,393216,820.9356689,240
1702161928,395264,814.6519775,240
1702161934,397312,811.3235474,240
1702161940,399360,814.4562988,240
1702161946,401408,823.1720581,240
1702161952,403456,819.0014648,240
1702161959,405504,810.8921509,240
1702161964,407552,804.0040894,240
1702161970,409600,817.6741333,240
1702161976,411648,827.9976196,240
1702161982,413696,812.8696899,240
1702161988,415744,805.8652344,240
1702161993,417792,804.9443359,240
1702161999,419840,813.8716431,240
1702162005,421888,812.1914673,240
1702162011,423936,813.2052002,240
1702162017,425984,811.2679443,240
1702162023,428032,816.0170898,240
1702162029,430080,830.1223755,240
1702162034,432128,839.1148682,240
1702162040,434176,823.508728,240
1702162046,436224,815.5773315,240
1702162052,438272,819.3553467,240
1702162057,440320,828.2074585,240
1702162063,442368,826.1715088,240
1702162069,444416,827.2648315,240
1702162075,446464,843.5765381,240
1702162081,448512,848.6710815,240
1702162087,450560,845.4838867,240
1702162094,452608,839.4924927,240
1702162100,454656,840.5610962,240
1702162106,456704,826.3096313,240
1702162112,458752,839.6868286,240
1702162118,460800,841.7911377,240
1702162124,462848,847.8172607,240
1702162130,464896,853.1005859,240
1702162137,466944,851.633728,240
1702162143,468992,848.6429443,240
1702162150,471040,845.5723877,240
1702162156,473088,848.442627,240
1702162162,475136,843.5679932,240
1702162167,477184,836.3774414,240
1702162173,479232,844.762085,240
1702162180,481280,848.7254028,240
1702162185,483328,848.4603271,240
1702162191,485376,852.2220459,240
1702162197,487424,846.1596069,240
1702162202,489472,853.1777954,240
1702162208,491520,857.2930908,240
1702162214,493568,851.0878296,240
1702162221,495616,847.9484863,240
1702162227,497664,848.1964111,240
1702162233,499712,851.0530396,240
