Wall time,Step,Reward,Length
1702151113,2048,-982.8133545,39.64706039
1702151118,4096,-982.6106567,40.86000061
1702151123,6144,-985.7892456,42.56999969
1702151129,8192,-993.6358032,41.54999924
1702151134,10240,-984.5725098,41.11999893
1702151140,12288,-982.7235718,43
1702151145,14336,-986.4226074,42.15000153
1702151150,16384,-982.1425171,41.43000031
1702151156,18432,-981.2700195,42.02999878
1702151161,20480,-972.5111694,42.08000183
1702151166,22528,-975.5001221,41.45999908
1702151172,24576,-985.4786377,41.36999893
1702151177,26624,-983.1987915,41.95999908
1702151182,28672,-978.9880371,41.13999939
1702151188,30720,-978.1580811,39.25999832
1702151193,32768,-981.3779907,40.29000092
1702151199,34816,-979.3295288,41.88999939
1702151204,36864,-982.3204956,41.29999924
1702151209,38912,-981.4036865,41.75999832
1702151215,40960,-974.3028564,41.68999863
1702151220,43008,-971.0668335,40.13000107
1702151225,45056,-980.1168213,39.40000153
1702151231,47104,-986.484375,40.00999832
1702151236,49152,-988.3938599,39.93000031
1702151241,51200,-977.2606201,41.18000031
1702151247,53248,-976.2327881,41.20999908
1702151252,55296,-981.3762817,40.24000168
1702151257,57344,-979.7446289,42.27999878
1702151263,59392,-978.7879028,42.88999939
1702151268,61440,-976.4332886,41.27000046
1702151273,63488,-972.3970337,39.86999893
1702151279,65536,-973.1326294,38.68999863
1702151285,67584,-976.9823608,39.97999954
1702151290,69632,-979.2297363,41.63999939
1702151295,71680,-983.2340698,41.43000031
1702151301,73728,-980.3779297,40.74000168
1702151306,75776,-976.6096802,40.66999817
1702151311,77824,-978.6721802,40.38000107
1702151317,79872,-969.3118896,39.33000183
1702151322,81920,-971.2265625,39.99000168
1702151327,83968,-974.4810791,41.31999969
1702151333,86016,-972.2715454,39.93000031
1702151338,88064,-977.0062256,39.22999954
1702151343,90112,-978.1483154,40.59000015
1702151349,92160,-972.1715698,41.27999878
1702151354,94208,-975.1525879,41.20000076
1702151360,96256,-977.3190918,41.47999954
1702151365,98304,-971.4296265,42.00999832
1702151371,100352,-977.4078979,42.27000046
1702151376,102400,-987.2553101,41.45999908
1702151381,104448,-976.5211182,41.97000122
1702151387,106496,-963.008728,43.79000092
1702151392,108544,-968.0679932,44.59999847
1702151397,110592,-977.9688721,44.25
1702151403,112640,-984.0060425,43.25999832
1702151408,114688,-977.0250244,43.29000092
1702151413,116736,-979.7900391,42.43000031
1702151419,118784,-977.7837524,43.61999893
1702151424,120832,-971.5344849,42.63000107
1702151430,122880,-973.2427368,41.88999939
1702151435,124928,-961.5592041,42.84999847
1702151440,126976,-959.6420288,43.74000168
1702151446,129024,-963.6300659,44.25999832
1702151451,131072,-972.6373291,43.63999939
1702151456,133120,-983.7445068,43.06999969
1702151462,135168,-972.7489014,43.70999908
1702151467,137216,-975.4769287,42.88000107
1702151472,139264,-980.6637573,43.00999832
1702151477,141312,-971.8947754,44.77000046
1702151482,143360,-966.6715698,44.59000015
1702151488,145408,-973.3731689,44.02999878
1702151493,147456,-980.321106,43.22000122
1702151498,149504,-976.5101929,43.24000168
1702151503,151552,-967.624939,43.68000031
1702151508,153600,-967.6773071,44.59000015
1702151513,155648,-967.885437,44.79999924
1702151518,157696,-960.6624756,44.40000153
1702151524,159744,-961.8250122,43.74000168
1702151529,161792,-964.6766968,43.45000076
1702151534,163840,-970.9438477,45.75
1702151539,165888,-963.6599731,45.68000031
1702151544,167936,-960.588501,45.15999985
1702151549,169984,-964.6377563,45.68000031
1702151554,172032,-963.8525391,45.90999985
1702151559,174080,-958.5913086,44.65999985
1702151564,176128,-973.5302124,43.88000107
1702151569,178176,-982.9038696,44.95999908
1702151575,180224,-977.0238037,45.65999985
1702151580,182272,-972.90271,45.43999863
1702151585,184320,-973.8522949,46.24000168
1702151590,186368,-974.8328247,45.74000168
1702151595,188416,-966.0137329,47.13000107
1702151600,190464,-965.8239136,46.95000076
1702151606,192512,-957.8444824,48.22999954
1702151611,194560,-957.861084,49.75999832
1702151616,196608,-954.1693115,52.09999847
1702151621,198656,-956.5455933,53.77000046
1702151626,200704,-964.6035767,54.52999878
1702151631,202752,-966.6226196,54.09999847
1702151636,204800,-957.3074341,56.54000092
1702151641,206848,-955.5137329,56.91999817
1702151646,208896,-956.2214966,59.66999817
1702151651,210944,-955.9954834,61.06999969
1702151656,212992,-956.7875366,63.49000168
1702151662,215040,-952.2097778,66.23999786
1702151667,217088,-956.7520142,66.62000275
1702151672,219136,-956.7763672,70.05999756
1702151677,221184,-955.8236084,70.93000031
1702151682,223232,-946.3056641,74.41999817
1702151687,225280,-952.8815308,77.48999786
1702151692,227328,-944.4293823,81.20999908
1702151697,229376,-945.5831299,86
1702151702,231424,-942.0592651,90.16999817
1702151707,233472,-941.4315186,96.13999939
1702151712,235520,-939.3043823,100.4800034
1702151717,237568,-951.010498,103.4599991
1702151722,239616,-949.4309082,107.5
1702151728,241664,-947.663208,109.0500031
1702151733,243712,-938.2816162,112.6200027
1702151738,245760,-942.2312012,117.5299988
1702151743,247808,-934.6473389,123.6299973
1702151748,249856,-913.8601074,132.5099945
1702151753,251904,-896.0924072,137.6399994
1702151758,253952,-899.4776611,144.5299988
1702151763,256000,-869.6171265,150.0399933
1702151768,258048,-843.5511475,154.5099945
1702151773,260096,-809.4087524,157.9400024
1702151778,262144,-758.7289429,164.8399963
1702151783,264192,-724.1859741,171.8500061
1702151788,266240,-659.7234497,175.1799927
1702151793,268288,-606.4718018,180.5399933
1702151798,270336,-543.4749756,186.4799957
1702151803,272384,-489.8268738,192.5299988
1702151809,274432,-443.5854492,195.7200012
1702151814,276480,-386.8764954,201.5700073
1702151819,278528,-330.6021423,208.5899963
1702151824,280576,-264.9788513,214.5899963
1702151829,282624,-230.5669098,217.7599945
1702151834,284672,-188.0646057,220.1000061
1702151839,286720,-147.7323456,221.2400055
1702151844,288768,-108.2889633,225.0599976
1702151849,290816,-91.10851288,225.0700073
1702151854,292864,-36.25165558,228.3800049
1702151859,294912,2.234499693,229.7400055
1702151864,296960,51.86987305,233.1699982
1702151869,299008,107.6908112,236.0099945
1702151874,301056,125.7951355,236.0099945
1702151879,303104,148.4419403,236.0099945
1702151885,305152,191.1888123,236.2599945
1702151890,307200,216.8882141,237.4900055
1702151895,309248,237.5979767,237.4900055
1702151900,311296,243.3073425,236.7899933
1702151905,313344,269.6203918,237.1499939
1702151910,315392,282.1188049,237.1499939
1702151915,317440,306.811615,238.0700073
1702151920,319488,325.217041,238.0700073
1702151925,321536,338.7251587,238.0700073
1702151930,323584,349.1749878,238.0700073
1702151935,325632,352.3795471,238.0700073
1702151940,327680,358.3310547,239.1699982
1702151945,329728,364.3906555,239.1699982
1702151950,331776,379.3551025,239.3000031
1702151956,333824,391.0848694,239.3000031
1702151961,335872,419.8661194,240
1702151966,337920,431.5104065,240
1702151971,339968,441.1368713,240
1702151976,342016,456.2092285,240
1702151981,344064,465.4956665,240
1702151986,346112,477.9389954,240
1702151991,348160,485.2899475,240
1702151996,350208,503.4538879,240
1702152001,352256,512.2498779,240
1702152006,354304,516.5186768,240
1702152011,356352,526.6153564,240
1702152017,358400,529.8132324,240
1702152022,360448,540.8945313,240
1702152027,362496,547.2905273,240
1702152032,364544,554.0863647,240
1702152037,366592,554.770813,240
1702152042,368640,566.6674194,240
1702152047,370688,569.7423706,240
1702152052,372736,573.5709229,240
1702152057,374784,572.3543091,240
1702152062,376832,587.4437866,240
1702152067,378880,605.4856567,240
1702152072,380928,612.4639893,240
1702152077,382976,617.5819702,240
1702152083,385024,622.6789551,240
1702152088,387072,638.9896851,240
1702152093,389120,650.0843506,240
1702152098,391168,661.3543091,240
1702152103,393216,667.6757202,240
1702152108,395264,666.4534912,240
1702152113,397312,671.8580322,240
1702152118,399360,681.4350586,240
1702152123,401408,675.3851318,240
1702152128,403456,677.4975586,240
1702152133,405504,691.9962158,240
1702152139,407552,700.1801758,240
1702152144,409600,706.1178589,240
1702152149,411648,699.0962524,240
1702152154,413696,697.1757202,240
1702152159,415744,686.9645386,240
1702152164,417792,690.6525879,240
1702152169,419840,694.7557373,240
1702152174,421888,701.7979126,240
1702152179,423936,697.6009521,240
1702152184,425984,698.5095825,240
1702152189,428032,696.5250244,240
1702152194,430080,688.0119629,240
1702152199,432128,695.2557983,240
1702152205,434176,686.0154419,240
1702152210,436224,682.934021,240
1702152215,438272,688.9828491,240
1702152220,440320,695.1053467,240
1702152225,442368,693.0932007,240
1702152230,444416,699.0476685,240
1702152235,446464,701.2035522,240
1702152240,448512,703.0994263,240
1702152245,450560,717.1066284,240
1702152250,452608,717.9697266,240
1702152255,454656,723.725708,240
1702152261,456704,721.4822388,240
1702152266,458752,720.7277222,240
1702152271,460800,723.7457275,240
1702152276,462848,722.7727661,240
1702152281,464896,722.6741943,240
1702152286,466944,725.8485107,240
1702152291,468992,725.5517578,240
1702152296,471040,719.1763306,240
1702152301,473088,725.0761108,240
1702152306,475136,723.3330078,240
1702152311,477184,713.4294434,240
1702152317,479232,708.4208374,240
1702152322,481280,698.2077637,240
1702152327,483328,706.8557739,240
1702152332,485376,704.0330811,240
1702152337,487424,707.9303589,240
1702152342,489472,719.0806274,240
1702152347,491520,719.2605591,240
1702152353,493568,730.7790527,240
1702152358,495616,729.7617798,240
1702152363,497664,741.7307739,240
1702152368,499712,737.6245728,240
1702152373,501760,747.5408325,240
1702152378,503808,746.8161011,240
1702152383,505856,757.1052246,240
1702152388,507904,757.4279175,240
1702152394,509952,765.1688232,240
1702152399,512000,764.9752197,240
1702152404,514048,768.9250488,240
1702152409,516096,772.8659668,240
1702152414,518144,768.6546021,240
1702152419,520192,786.0650024,240
1702152424,522240,776.1506348,240
1702152429,524288,776.6711426,240
1702152434,526336,784.6106567,240
1702152439,528384,792.7877197,240
1702152444,530432,800.4857178,240
1702152450,532480,793.2426758,240
1702152455,534528,803.8106079,240
1702152460,536576,796.531189,240
1702152465,538624,786.2842407,240
1702152470,540672,785.0540771,240
1702152476,542720,775.9794312,240
1702152481,544768,766.012085,240
1702152486,546816,782.1245728,240
1702152491,548864,782.5479126,240
1702152497,550912,786.4071655,240
1702152502,552960,781.3825684,240
1702152507,555008,774.2359619,240
1702152512,557056,777.4857178,240
1702152518,559104,778.6630859,240
1702152523,561152,793.7404785,240
1702152528,563200,798.9528198,240
1702152533,565248,805.8319092,240
1702152538,567296,824.9653931,240
1702152543,569344,829.0550537,240
1702152548,571392,825.0595093,240
