Wall time,Step,Value,Value
1699589180,158,-958.5198975,39.5
1699589182,328,-971.0375977,41
1699589186,626,-983.4138184,39.125
1699589188,759,-983.2780151,37.95000076
1699589190,900,-987.3894043,37.5
1699589192,1025,-986.6829834,36.6071434
1699589194,1159,-986.1432495,36.21875
1699589196,1303,-985.9827271,36.19444275
1699589198,1435,-985.5997314,35.875
1699589199,1562,-985.2763062,35.5
1699589201,1689,-980.8986206,35.1875
1699589203,1815,-982.9868774,34.90384674
1699589205,1945,-982.9553223,34.7321434
1699589207,2067,-984.633728,34.45000076
1699589209,2196,-986.0767212,34.3125
1699589211,2325,-987.3323364,34.19117737
1699589213,2455,-988.4710693,34.09722137
1699589215,2577,-988.1542969,33.90789413
1699589217,2703,-989.1254272,33.78749847
1699589219,2837,-988.7845459,33.77381134
1699589221,2962,-989.6686401,33.65909195
1699589223,3088,-990.4666138,33.56521606
1699589226,3219,-991.1727905,33.53125
1699589228,3350,-991.8310547,33.5
1699589230,3480,-989.7860718,33.22000122
1699589232,3616,-990.7591553,32.88000107
1699589235,3754,-990.7169189,32.84000015
1699589240,4045,-988.6761475,32.86000061
1699589242,4185,-988.7181396,32.84999847
1699589245,4325,-989.758606,33
1699589248,4496,-990.7576294,33.36999893
1699589251,4690,-991.7106323,33.86999893
1699589255,4898,-992.7512817,34.63000107
1699589258,5080,-993.8504639,35.18000031
1699589261,5274,-996.9918823,35.84999847
1699589265,5514,-997.0986328,36.99000168
1699589268,5712,-998.1420898,37.66999817
1699589273,5936,-997.203125,38.68999863
1699589277,6152,-997.3652344,39.56000137
1699589285,6619,-995.4334717,41.63999939
1699589287,6792,-995.5057373,42.15000153
1699589290,6978,-994.5407715,42.75
1699589295,7254,-991.6195068,44.16999817
1699589302,7697,-991.8336792,47.34999847
1699589308,8017,-990.9321899,49.29000092
1699589314,8394,-980.1082153,51.75
1699589320,8794,-970.2622681,54.43999863
1699589333,9569,-953.6199341,60.88999939
1699589349,10529,-911.9864502,69.12999725
1699589365,11489,-870.0335083,77.34999847
1699589380,12449,-832.5336914,85.5
1699589396,13409,-791.7533569,93.63999939
1699589412,14369,-750.6575928,101.8399963
1699589428,15329,-710.7929077,110.0400009
1699589443,16289,-669.7424316,117.9300003
1699589459,17249,-629.7845459,125.5899963
1699589475,18206,-600.5718384,133.0800018
1699589490,19151,-580.3456421,140.7100067
1699589506,20111,-539.7602539,148.3699951
1699589522,21071,-499.7681885,155.5700073
1699589537,22031,-460.3959351,163.1900024
1699589553,22991,-418.5707092,170.5500031
1699589569,23951,-376.4533386,177.9900055
1699589585,24911,-336.8160706,185.2899933
1699589600,25871,-299.6869507,192.5200043
1699589616,26831,-259.7515869,200.3899994
1699589632,27791,-221.2376862,208.1300049
1699589663,29711,-142.486145,220.1399994
1699589678,30671,-102.1435852,226.5399933
1699589694,31631,-70.45217896,232.3699951
1699589710,32591,-41.6328392,237.9700012
1699589726,33551,-17.95983887,239.8200073
1699589741,34511,-18.11561012,239.8200073
1699589757,35471,-18.72776794,239.8200073
1699589772,36431,-20.90550804,239.8200073
1699589788,37391,-17.85479736,239.8200073
1699589804,38351,-18.30849266,239.8200073
1699589819,39311,-7.034321785,239.8200073
1699589835,40271,-0.130568385,239.8200073
1699589851,41231,5.775050163,239.8200073
1699589867,42191,19.46895027,239.8500061
1699589883,43151,46.02673721,240
1699589899,44111,47.61128998,240
1699589916,45071,54.56647873,240
1699589932,46031,54.71552658,240
1699589948,46991,53.82182693,240
1699589964,47951,57.78520966,240
1699589980,48911,60.02651215,240
1699589996,49871,60.89371872,240
1699590011,50831,64.6831665,240
1699590027,51791,69.86896515,240
1699590043,52751,71.6359787,240
1699590058,53711,75.27645874,240
1699590074,54671,76.85604095,240
1699590090,55631,83.2536087,240
1699590106,56591,94.40680695,240
1699590121,57551,97.77318573,240
1699590137,58511,105.3209076,240
1699590153,59471,108.3506241,240
1699590169,60431,123.9246445,240
1699590184,61391,134.0274811,240
1699590200,62351,149.3467712,240
1699590216,63311,146.2108917,240
1699590232,64271,148.8603058,240
1699590247,65231,162.1314087,240
1699590263,66191,169.7337952,240
1699590279,67151,175.5877991,240
1699590295,68111,193.2737122,240
1699590311,69071,206.3544312,240
1699590326,70031,218.1182861,240
1699590342,70991,228.8014526,240
1699590358,71951,238.3969727,240
1699590374,72911,254.246521,240
1699590390,73871,270.0235291,240
1699590406,74831,281.0952759,240
1699590421,75791,289.6234741,240
1699590437,76751,301.2996216,240
1699590453,77711,312.7370605,240
1699590469,78671,332.7715454,240
1699590485,79631,340.6058044,240
1699590501,80591,348.4562378,240
1699590518,81551,362.5905457,240
1699590534,82511,375.4559021,240
1699590550,83471,384.4781494,240
1699590582,85391,385.2706604,240
1699590598,86351,384.8351135,240
1699590613,87311,394.4925232,240
1699590646,89231,395.7929382,240
1699590661,90191,407.208313,240
1699590678,91151,413.5560913,240
1699590694,92111,410.6517639,240
1699590709,93071,406.7381897,240
1699590725,94031,411.0316772,240
1699590741,94991,409.6012268,240
1699590757,95951,407.6435242,240
1699590773,96911,406.4683228,240
1699590789,97871,401.1138611,240
1699590805,98831,398.3394165,240
1699590821,99791,407.7739868,240
1699590837,100751,409.7608643,240
1699590853,101711,416.2054749,240
1699590886,103631,417.3603821,240
1699590902,104591,424.5255127,240
1699590918,105551,418.0779114,240
1699590935,106511,414.9825439,240
1699590966,108431,425.5235291,240
1699590982,109391,431.8374329,240
1699590998,110351,434.0081787,240
1699591014,111311,434.0586853,240
1699591030,112271,443.3997498,240
1699591046,113231,444.4263611,240
1699591062,114191,445.1233826,240
1699591078,115151,451.9599915,240
1699591093,116111,464.1112671,240
1699591109,117071,468.6002197,240
1699591125,118031,475.8350525,240
1699591141,118991,493.5697021,240
1699591157,119951,504.8812256,240
1699591173,120911,507.2144775,240
1699591189,121871,517.6364136,240
1699591205,122831,524.2324219,240
1699591221,123791,527.3826904,240
1699591252,125711,528.4086914,240
1699591268,126671,525.0818481,240
1699591284,127631,522.824646,240
1699591299,128591,514.4009399,240
1699591315,129551,520.569458,240
1699591331,130511,525.5987549,240
1699591347,131471,519.2628174,240
1699591363,132431,520.4099731,240
1699591378,133391,520.4553223,240
1699591394,134351,520.645813,240
1699591410,135311,524.4353638,240
1699591426,136271,521.1087646,240
1699591442,137231,523.1156616,240
1699591458,138191,515.9529419,240
1699591474,139151,512.9875488,240
1699591489,140111,506.7816467,240
1699591505,141071,506.1098938,240
1699591521,142031,501.0295105,240
1699591537,142991,491.5567017,240
1699591553,143951,490.4379272,240
1699591568,144911,489.0872192,240
1699591600,146831,498.311615,240
1699591616,147791,489.2044983,240
1699591681,151631,500.7486572,240
1699591697,152591,505.0111694,240
1699591713,153551,505.2505798,240
