Wall time,Step,Value,Value
1702113037,203,-983.9917603,50.75
1702113041,379,-984.5703735,47.375
1702113049,705,-990.30896,44.0625
1702113053,854,-993.8759155,42.70000076
1702113056,977,-991.7212524,40.70833206
1702113059,1096,-994.0653687,39.1428566
1702113062,1231,-992.5916138,38.46875
1702113065,1365,-994.1768799,37.91666794
1702113068,1496,-992.9447021,37.40000153
1702113071,1637,-994.288147,37.20454407
1702113075,1779,-995.3681641,37.0625
1702113078,1907,-996.3478394,36.67307663
1702113082,2049,-997.1679688,36.5892868
1702113086,2185,-996.1821289,36.41666794
1702113090,2319,-996.9040527,36.234375
1702113094,2468,-996.1038818,36.29411697
1702113098,2607,-992.6127319,36.20833206
1702113102,2763,-989.47052,36.35526276
1702113107,2912,-986.6628418,36.40000153
1702113111,3066,-987.7404785,36.5
1702113116,3213,-988.7347412,36.51136398
1702113121,3370,-989.5558472,36.63043594
1702113126,3516,-989.3223877,36.625
1702113130,3660,-990.0822144,36.59999847
1702113134,3805,-991.0576172,36.02000046
1702113139,3961,-991.0059814,35.81999969
1702113143,4106,-991.9459229,35.36999893
1702113152,4409,-992.0305786,35.54999924
1702113157,4559,-992.1556396,35.81999969
1702113161,4717,-991.2359619,36.20999908
1702113166,4866,-991.3125,36.34999847
1702113170,5018,-990.4111328,36.52999878
1702113176,5171,-989.4839478,36.75
1702113184,5464,-989.5928955,36.84999847
1702113189,5624,-988.6171265,37.16999817
1702113193,5778,-988.6820068,37.29000092
1702113198,5930,-987.7446289,37.45000076
1702113202,6084,-987.8077393,37.65000153
1702113211,6381,-989.8319092,37.74000168
1702113216,6524,-990.852356,37.61000061
1702113220,6680,-993.8463135,37.68000031
1702113225,6837,-992.819519,37.70999908
1702113230,6996,-991.7415161,37.83000183
1702113235,7149,-991.7775269,37.79000092
1702113240,7322,-992.7994995,38.06000137
1702113245,7503,-991.8000488,38.43000031
1702113252,7720,-991.8879395,39.15000153
1702113258,7916,-993.0274658,39.54999924
1702113265,8111,-991.1088867,40.04999924
1702113273,8325,-990.2446289,40.68999863
1702113278,8480,-990.2738647,40.70999908
1702113283,8642,-990.2804565,40.83000183
1702113290,8855,-991.3338623,41.38000107
1702113296,9015,-992.3443604,41.49000168
1702113302,9175,-993.2810059,41.56999969
1702113309,9340,-995.3114014,41.68999863
1702113322,9539,-995.4580688,42.22999954
1702113330,9713,-993.4267578,42.49000168
1702113338,9906,-992.5105591,42.81999969
1702113349,10179,-992.734314,44.00999832
1702113367,10453,-993.9294434,45.22999954
1702113388,10727,-990.1906738,46.43000031
1702113406,10998,-989.2479248,47.63999939
1702113425,11301,-990.4346924,49.20000076
1702113444,11566,-991.6832275,50.41999817
1702113461,11816,-989.8183594,51.36000061
1702113522,12611,-987.2401733,56.15000153
1702113551,12982,-987.7522583,58.33000183
1702113613,13488,-988.2625122,61.65999985
1702113663,13968,-988.7427979,64.65000153
1702113694,14447,-985.4396973,67.26999664
1702113722,14983,-972.6201172,70.66999817
1702113746,15468,-973.939209,73.56999969
1702113786,15898,-975.1539917,75.73000336
1702113816,16237,-973.3405151,77.56999969
1702113851,16728,-973.850647,80.86000061
1702113873,17225,-973.1943359,83.69999695
1702113900,17761,-969.4802246,87.45999908
1702114035,19273,-933.9857788,99.33000183
1702114135,20211,-908.2461548,106.7200012
1702114231,21061,-875.4889526,113.4800034
1702114341,22021,-836.9328613,121.1500015
1702114473,22981,-795.8786011,128.0200043
1702114567,23747,-777.4979248,132.9400024
1702114615,24707,-741.0745239,139.8000031
1702114665,25667,-702.9205322,146.6900024
1702114716,26627,-662.1018677,153.2599945
1702114770,27587,-622.3301392,160.2100067
1702114818,28547,-583.2457886,167.3099976
1702114865,29507,-544.7371826,174.1600037
1702114913,30467,-508.1387634,178.5599976
1702114960,31427,-467.6464844,184.4499969
1702115008,32387,-427.9770508,188.9900055
1702115056,33347,-383.1631165,193.7899933
1702115103,34307,-345.0198975,198.6000061
1702115150,35267,-317.3838501,202.8399963
1702115198,36227,-276.8613281,207.5899963
1702115250,37187,-236.1173096,212.8899994
1702115298,38147,-196.0016022,219.1000061
1702115346,39107,-157.5203705,223.7899933
1702115398,40067,-116.8483582,228.4199982
1702115456,41027,-78.59391022,232.6600037
1702115511,41987,-49.94999695,234.3399963
1702115565,42947,-29.66267014,236.7400055
1702115620,43907,-15.12624359,236.9600067
1702115674,44867,-11.0991888,238.0599976
1702115733,45827,-7.082971573,238.0599976
1702115795,46787,-1.144828081,238.0599976
1702115855,47747,23.6326046,240
1702115921,48707,30.34120178,240
1702115987,49667,31.92560196,240
1702116057,50609,19.7548027,239.8200073
1702116106,51569,22.52046967,239.8200073
1702116135,52529,21.94863701,239.8200073
1702116163,53489,21.34865379,239.8200073
1702116191,54449,23.07629395,239.8200073
1702116220,55409,23.41999817,239.8200073
1702116248,56369,26.21483421,239.8200073
1702116276,57329,22.35376167,239.8200073
1702116304,58289,21.64956665,239.8200073
1702116331,59249,23.85272408,239.8200073
1702116359,60209,26.45855331,239.8200073
1702116416,62129,41.54304886,239.8200073
1702116445,63089,55.49417114,239.8200073
1702116474,64049,65.12149811,239.8200073
1702116533,65969,91.24385071,239.8200073
1702116561,66929,98.66978455,239.8200073
1702116589,67889,112.4099884,239.8200073
1702116618,68849,125.3928146,239.8200073
1702116647,69809,131.7345276,239.8200073
1702116675,70769,135.5905762,239.8200073
1702116703,71729,148.1202545,239.8200073
1702116732,72689,149.8878632,239.8200073
1702116760,73649,161.8834381,239.8200073
1702116788,74609,184.6866302,240
1702116817,75569,204.1166687,240
1702116845,76529,211.9879761,240
1702116874,77489,227.8626099,240
1702116902,78449,246.4243622,240
1702116959,80369,282.3942261,240
1702116988,81329,303.5030823,240
1702117017,82289,327.7388611,240
1702117045,83249,345.7275085,240
1702117102,85169,368.1377869,240
1702117131,86129,379.1756287,240
1702117159,87089,385.7382202,240
1702117188,88049,391.3259583,240
1702117216,89009,391.1276855,240
1702117245,89969,407.4000244,240
1702117273,90929,415.2973328,240
1702117302,91889,425.9949646,240
1702117330,92849,435.6246338,240
1702117359,93809,444.1781311,240
1702117387,94769,453.0319214,240
1702117416,95729,456.0067444,240
1702117444,96689,478.3063965,240
1702117472,97649,488.3669434,240
1702117501,98609,504.7699585,240
1702117529,99569,508.6096191,240
1702117558,100529,524.8900146,240
1702117615,102449,539.7805176,240
1702117643,103409,547.8948975,240
1702117672,104369,554.1454468,240
1702117731,106289,561.0359497,240
1702117759,107249,569.2806396,240
1702117788,108209,581.5379028,240
1702117817,109169,591.7566528,240
1702117875,111089,606.0023804,240
1702117903,112049,610.1270752,240
1702117932,113009,615.1801758,240
1702117960,113969,613.1251221,240
1702117989,114929,620.1942139,240
1702118018,115889,616.0093994,240
1702118046,116849,616.3190308,240
1702118075,117809,626.6004639,240
1702118103,118769,628.7254639,240
1702118131,119729,638.8895874,240
1702118158,120689,634.6530151,240
1702118185,121649,641.7072754,240
1702118318,124529,649.0970459,240
1702118564,128369,648.9959717,240
1702118618,129329,646.0771484,240
1702118670,130289,653.1618652,240
1702118723,131249,658.3574219,240
1702118775,132209,656.3240356,240
1702118828,133169,662.3532715,240
1702118932,135089,668.5462036,240
1702118984,136049,671.5081177,240
1702119036,137009,673.47229,240
1702119088,137969,671.4516602,240
1702119140,138929,677.77771,240
1702119245,140849,694.0667114,240
1702119296,141809,695.1921997,240
1702119348,142769,703.5270996,240
1702119400,143729,703.65271,240
1702119452,144689,703.7072754,240
1702119504,145649,697.6051636,240
1702119556,146609,695.4088745,240
1702119608,147569,701.3555908,240
1702119660,148529,702.6373901,240
1702119712,149489,706.7401123,240
1702119764,150449,707.7167358,240
1702119816,151409,704.7974854,240
1702119868,152369,703.7195435,240
1702119974,154289,706.8568115,240
1702120027,155249,701.7800293,240
1702120082,156209,702.9389648,240
1702120138,157169,697.9108887,240
1702120189,158129,699.8325195,240
1702120238,159089,699.7772827,240
1702120285,160049,702.8756104,240
1702120331,161009,705.9419556,240
1702120378,161969,713.1640015,240
1702120424,162929,709.0001831,240
1702120472,163889,700.8010864,240
1702120564,165809,701.8262329,240
1702120613,166769,701.6455078,240
1702120665,167729,710.8151855,240
