#{"t_start": 1702236991.7148774, "env_id": null}
r,l,t
-1035.917927,109,202.307517
-910.157064,40,203.044899
-1027.690616,99,204.884673
-1010.432128,70,206.223583
-813.090111,79,207.718072
-908.360481,54,208.738883
-913.814286,52,209.701536
-842.985572,130,212.117023
-1030.386525,113,214.188488
-1029.95497,118,216.379264
-916.723453,104,218.36827
-1005.912481,36,219.046943
-1022.97121,71,220.364977
-924.799394,106,222.327391
-937.820949,111,224.379819
-1027.584488,163,227.414856
-1049.411736,137,229.962589
-1035.093506,175,233.214701
-716.166539,127,235.551708
-911.490851,57,236.606252
-1025.602025,75,237.999902
-1030.156633,100,239.843791
-1026.070792,89,241.475941
-1025.779118,81,242.98118
-26.811887,240,247.399642
-910.948558,48,248.27494
-1028.308533,90,249.946713
-1008.326988,54,250.947492
-1034.704434,186,254.467934
-1030.017084,90,256.162173
-1031.127476,102,258.061414
-938.782003,142,260.765849
-1040.752738,200,264.517314
-1039.001196,113,266.630939
-1043.40494,145,269.349562
-1038.347778,108,271.375595
-1034.459885,104,273.307205
-843.164331,206,277.096249
-16.532559,240,281.497375
65.640472,240,285.967475
-924.837734,105,287.916471
-979.623944,211,291.831589
-934.925476,149,294.598081
-969.731054,225,298.780798
45.588579,240,303.191303
-1073.947831,227,307.379788
-16.849735,240,311.837001
33.486036,240,316.292579
-1062.84712,195,319.886524
-1058.735007,162,322.93679
-1069.295264,213,327.022848
-1073.551898,181,330.484733
-1080.824917,233,334.772845
-979.788516,237,339.145208
-868.730116,240,343.555804
-29.662973,240,347.970665
-49.732165,240,352.372788
-1077.271875,215,356.359991
27.358817,240,360.846662
-92.921707,240,365.263386
-51.919032,240,369.650793
-58.801452,240,374.076329
-55.002793,240,378.512064
12.579844,240,382.929143
-80.995638,240,387.442868
-31.029666,240,391.983315
-25.573246,240,396.454681
-35.900285,240,401.077343
-43.855612,240,405.481703
178.20105,240,409.886882
-61.633206,240,414.274284
-47.905808,240,418.723497
-40.710334,240,423.145549
79.619215,240,427.55467
-19.032734,240,431.965221
-55.282315,240,436.346323
-65.744185,240,440.724507
-26.435733,240,445.159143
-39.736875,240,449.572538
-57.904501,240,453.997884
-65.650341,240,458.516536
-16.859389,240,462.949581
31.233733,240,467.390981
47.094981,240,471.787386
-35.221095,240,476.162023
-30.516999,240,480.61159
-67.246469,240,485.015373
-962.405382,217,489.031506
-102.088563,240,493.440582
24.642174,240,497.905034
-31.070734,240,502.305719
-1039.94543,176,505.546937
173.411622,240,510.162888
67.176565,240,514.568087
-1027.974022,169,517.67897
-46.580733,240,522.144145
-69.373951,240,526.632033
-62.188987,240,531.053004
-74.295727,240,535.394526
-77.894156,240,539.798463
-34.485433,240,544.191377
-87.466164,240,548.610602
-54.110128,240,552.981411
-25.371194,240,557.335575
-40.639883,240,561.714369
-65.648637,240,566.135808
-60.880439,240,570.506917
-56.14264,240,574.865881
-62.995111,240,579.285858
-18.338257,240,583.689678
-45.240816,240,588.133443
-34.176614,240,592.606777
-61.521555,240,596.981182
-76.683508,240,601.393218
-59.363973,240,605.77927
-29.236481,240,610.204246
-72.296288,240,614.616968
-37.827665,240,619.082006
-58.581689,240,623.432431
-30.864186,240,627.907611
-75.132976,240,632.336042
-35.708338,240,636.715042
-93.395081,240,641.097272
47.56538,240,645.482094
-77.017532,240,649.870196
-58.9802,240,654.337362
-26.267892,240,658.755635
-91.098393,240,663.15866
-79.693659,240,667.569229
-80.75048,240,671.951482
-86.119632,240,676.318803
57.432772,240,680.704011
-74.753628,240,685.043715
-35.86353,240,689.438786
53.39235,240,693.817054
-57.020412,240,698.235159
-60.415611,240,702.65255
-28.269507,240,707.243273
-38.088681,240,711.61558
-92.912234,240,716.011711
137.324913,240,720.486586
79.415116,240,724.98156
-67.046128,240,729.389469
-53.078661,240,733.840223
-86.746364,240,738.217583
-16.206394,240,742.607503
-77.290941,240,746.98138
-83.487879,240,751.368726
-68.688802,240,755.786133
-80.386386,240,760.184151
79.755923,240,764.558871
-76.824122,240,768.934184
19.911633,240,773.324946
51.210801,240,777.698781
-80.652134,240,782.096037
55.182352,240,786.595246
60.242843,240,791.083086
-84.109753,240,795.487443
-39.501478,240,799.869996
-85.617081,240,804.272085
-52.769415,240,808.667075
-84.373309,240,813.093852
-91.53271,240,817.501633
-43.223956,240,821.875814
-74.114187,240,826.26828
-87.680926,240,830.691235
-67.946644,240,835.074755
-49.092775,240,839.484736
40.329607,240,843.928549
-56.141762,240,848.683318
-77.146989,240,853.58429
-80.03782,240,858.322963
-78.071915,240,862.757815
-53.617499,240,867.157433
72.52944,240,871.542293
-84.858513,240,875.943348
-33.572334,240,880.371213
-65.692455,240,884.758881
-64.00938,240,889.136667
-67.382807,240,893.552197
-64.699202,240,897.914512
29.650733,240,902.255537
-91.471045,240,906.674777
-47.780779,240,911.100807
66.67459,240,915.478369
59.998612,240,919.99332
49.321622,240,924.420293
-70.545697,240,928.800053
-61.950273,240,933.227996
-72.47436,240,937.624272
48.116934,240,942.019883
-72.486635,240,946.438299
27.070243,240,950.869724
-49.583877,240,955.279951
-87.646873,240,959.709706
-72.129024,240,964.086155
-58.721959,240,968.515406
-77.822057,240,972.992693
-80.466064,240,977.444166
-47.237211,240,981.897992
7.848808,240,986.448114
-89.415251,240,990.870543
-72.194701,240,995.251064
-86.173585,240,999.641889
-82.915674,240,1004.058638
7.107168,240,1008.455941
-48.027832,240,1013.024673
17.199766,240,1017.436192
-60.311326,240,1021.82214
-66.49911,240,1026.21292
-52.03564,240,1030.544777
-78.283202,240,1034.939908
-91.925494,240,1039.381193
36.753314,240,1043.824429
-87.057013,240,1048.208765
-100.520796,240,1052.708363
-79.309928,240,1057.108732
136.169524,240,1061.488184
-74.214867,240,1065.961656
121.866919,240,1070.379383
-92.159856,240,1074.761027
-77.539291,240,1079.291319
-82.17263,240,1084.069258
141.591484,240,1088.839669
60.171612,240,1093.622109
-90.335188,240,1098.399738
20.541575,240,1103.194365
-36.376168,240,1107.960811
-95.233611,240,1112.738241
11.893813,240,1117.656793
-80.181809,240,1122.446374
-87.312738,240,1127.222891
-78.98244,240,1132.031985
-59.547763,240,1136.818138
9.877344,240,1141.606849
34.04827,240,1146.3652
-72.073641,240,1151.152606
-75.260529,240,1155.986371
-76.015784,240,1160.807758
19.090917,240,1165.629467
-86.176764,240,1170.398409
-89.669394,240,1175.164707
41.764389,240,1179.940766
-84.455322,240,1184.869497
-39.306947,240,1189.673862
37.276606,240,1194.517487
22.914639,240,1199.327885
-85.371926,240,1204.08817
-57.1633,240,1208.893317
19.843821,240,1213.656542
-54.554677,240,1218.430092
-75.754924,240,1223.233399
-75.500973,240,1228.0661
-52.312553,240,1232.926437
35.038104,240,1237.737453
-49.901939,240,1242.508275
44.667408,240,1247.34578
-56.625,240,1252.187914
46.471576,240,1256.94228
-33.732508,240,1261.733727
-79.068257,240,1266.485805
-51.174981,240,1271.261848
27.364811,240,1276.06931
40.024322,240,1280.881588
60.408484,240,1285.644653
122.466386,240,1290.465969
-44.178818,240,1295.27283
-66.731488,240,1300.107204
-50.330568,240,1304.936754
-70.694905,240,1309.734536
-53.085437,240,1314.752968
-72.870412,240,1319.719445
-77.649908,240,1324.50975
47.831864,240,1329.332995
-76.691386,240,1334.196289
-58.145464,240,1338.964644
33.267237,240,1343.752421
37.405298,240,1348.604736
-50.078199,240,1353.546483
-78.791314,240,1358.400981
-45.462832,240,1363.220141
151.437396,240,1368.006415
38.483365,240,1372.754561
21.878007,240,1377.55775
128.881932,240,1382.442153
-61.520154,240,1387.283448
-62.091252,240,1392.132989
-73.995688,240,1396.948259
-50.933447,240,1401.813214
-62.028745,240,1406.779266
-64.476882,240,1412.033073
17.732109,240,1417.254406
149.876725,240,1422.369179
43.196347,240,1427.513126
153.804159,240,1432.644603
42.884052,240,1437.807615
-59.588117,240,1442.987413
-57.306994,240,1448.220803
14.362359,240,1453.310264
51.556671,240,1458.385179
44.892688,240,1463.488783
-74.352007,240,1468.609072
51.254764,240,1473.723503
-58.095035,240,1478.841049
-72.243674,240,1483.943762
-67.792062,240,1489.04012
-95.271208,240,1494.107365
-57.132879,240,1499.182146
-45.777914,240,1504.266595
52.186673,240,1509.498024
-56.096665,240,1514.917389
-84.454339,240,1520.129219
260.04415,240,1525.220298
-83.807757,240,1530.603871
-75.651919,240,1535.889933
59.293804,240,1541.184843
52.958504,240,1546.518938
43.05937,240,1551.817535
-89.328959,240,1557.110721
53.534104,240,1562.587941
-53.216691,240,1567.858867
158.021401,240,1573.214709
49.268487,240,1578.658968
-32.220637,240,1584.071822
56.645342,240,1589.361939
145.268996,240,1594.76876
153.847434,240,1599.849965
-65.726318,240,1604.935616
28.56167,240,1610.006515
-88.013262,240,1615.061999
-46.529374,240,1620.28067
51.46352,240,1625.56088
61.323314,240,1630.82505
47.961734,240,1636.014439
160.767958,240,1641.298557
264.967771,240,1646.808881
269.876526,240,1652.275427
278.652284,240,1657.659918
58.897349,240,1662.743405
175.54871,240,1667.886572
177.185898,240,1673.0028
-35.477847,240,1678.114944
281.428907,240,1683.212831
174.730639,240,1688.367635
-63.950343,240,1693.560055
-944.161058,153,1696.794514
28.619368,240,1702.016093
-27.935378,240,1707.109934
83.667954,240,1712.38314
-33.198619,240,1717.456184
67.494635,240,1722.592197
-56.385233,240,1727.714929
291.833947,240,1732.812421
68.178326,240,1738.000971
176.90016,240,1743.308673
87.646217,240,1748.453699
40.382906,240,1753.300147
-80.144766,240,1758.212133
157.866046,240,1763.157096
53.620704,240,1768.209367
222.987956,240,1773.32384
165.032224,240,1778.660537
276.507528,240,1783.645381
-74.785568,240,1788.650593
-27.907517,240,1793.656084
54.943995,240,1798.545898
280.823025,240,1803.451571
32.501186,240,1808.571776
178.647288,240,1813.422775
61.912821,240,1818.259726
42.643245,240,1823.071434
389.242343,240,1828.095181
-980.120773,238,1832.93837
182.846696,240,1837.893112
65.927522,240,1842.862133
-65.675016,240,1848.075603
491.059261,240,1853.044539
-61.906516,240,1857.852179
283.030921,240,1862.685003
281.142179,240,1867.549393
157.790408,240,1872.519421
37.673214,240,1877.364247
190.323524,240,1882.234678
160.809261,240,1887.118677
290.658965,240,1892.039749
492.023102,240,1896.870966
175.423804,240,1901.77863
284.357416,240,1907.514004
180.83238,240,1914.119199
167.323975,240,1920.355615
279.407039,240,1926.81347
375.234366,240,1932.879952
273.501641,240,1938.144148
167.494799,240,1943.33233
677.448105,240,1948.316517
276.31116,240,1953.24584
370.876735,240,1958.091931
