Wall time,Step,Value,Value
1702151111,3000,-990.8590088,39.84000015
1702151112,3500,-991.1309814,39.75
1702151117,5500,-986.4168091,40.02999878
1702151118,6000,-984.2352905,39.47999954
1702151121,7000,-987.0606079,38.27000046
1702151122,7500,-985.0767212,37.99000168
1702151124,8000,-982.9283447,37.09999847
1702151126,9000,-985.7399292,36.34000015
1702151128,9500,-987.8659668,36.02000046
1702151129,10000,-989.8512573,36.20000076
1702151130,10500,-992.9168091,36.43999863
1702151136,12500,-989.9935913,36.93000031
1702151147,17000,-990.1027832,38.18999863
1702151149,17500,-989.1247559,38.58000183
1702151151,18500,-988.3110352,39.91999817
1702151155,20000,-993.5818481,40.56999969
1702151157,20500,-992.6564941,41.06999969
1702151159,21500,-988.6259766,41.75
1702151162,22500,-986.5831299,41.79999924
1702151163,23000,-985.505249,41.45000076
1702151166,24000,-986.7918701,42.13000107
1702151169,25000,-985.7722778,41.09000015
1702151170,25500,-988.7137451,41.11000061
1702151174,27000,-989.8703613,41.11999893
1702151175,27500,-987.5613403,40.77000046
1702151177,28000,-988.4847412,40.70000076
1702151178,28500,-988.5131226,40.88999939
1702151179,29000,-991.4998169,40.70000076
1702151183,30500,-996.4274292,40.88999939
1702151184,31000,-993.4365234,40.84999847
1702151187,32000,-992.4338989,41.49000168
1702151190,33000,-992.5432129,41.70999908
1702151191,33500,-992.5645752,42.06999969
1702151192,34000,-991.6737061,41.97999954
1702151194,34500,-990.7272339,41.95999908
1702151198,36000,-994.7670898,40.65000153
1702151199,36500,-992.7207031,41.31999969
1702151200,37000,-992.6735229,40.88000107
1702151201,37500,-992.682251,41.59000015
1702151204,38500,-992.6212158,42.04999924
1702151208,40000,-990.5585327,42.84999847
1702151215,42500,-987.7579346,44.43000031
1702151216,43000,-987.8418579,43.95999908
1702151217,43500,-986.9827881,44.13000107
1702151218,44000,-989.0321655,43.88000107
1702151220,44500,-992.0998535,44.49000168
1702151221,45000,-991.1955566,44.47000122
1702151228,47500,-990.1330566,43.41999817
1702151238,51500,-974.9887695,44.59000015
1702151242,53000,-977.2355347,47.11000061
1702151243,53500,-977.3445435,47.86000061
1702151253,57000,-989.1984863,47.43999863
1702151257,58500,-991.0834351,46.75
1702151259,59500,-984.0076904,46.81999969
1702151260,60000,-985.9745483,46.66999817
1702151262,60500,-985.0879517,46.84999847
1702151267,62500,-981.4490967,47.47999954
1702151268,63000,-983.6296997,47.97000122
1702151270,63500,-983.7675171,48.50999832
1702151274,65000,-991.0432129,50.18999863
1702151275,65500,-986.9692383,50.47000122
1702151279,67000,-986.6328125,51.27000046
1702151285,69000,-987.5206299,52.13999939
1702151287,70000,-986.3029785,50.74000168
1702151290,71000,-989.3317871,50.70000076
1702151291,71500,-988.3191528,50.09999847
1702151292,72000,-984.3245239,49.74000168
1702151294,72500,-984.2441406,49.54999924
