Wall time,Step,Reward,Length
1702113364,3000,-993.854187,38.53246689
1702113365,3500,-995.0469971,38.23077011
1702113371,5500,-991.1775513,36.50999832
1702113373,6000,-989.2206421,36.06000137
1702113376,7000,-985.1028442,35.72999954
1702113377,7500,-984.1121216,35.84000015
1702113378,8000,-988.1482544,36.04000092
1702113381,9000,-988.206543,35.99000168
1702113383,9500,-986.152771,36.02999878
1702113384,10000,-985.1134644,35.86999893
1702113386,10500,-984.0581055,35.93999863
1702113391,12500,-987.9889526,35.79000092
1702113404,17000,-984.2885132,38.20000076
1702113405,17500,-986.3483887,38.61000061
1702113408,18500,-990.3872681,39.58000183
1702113412,20000,-991.5447388,40.33000183
1702113413,20500,-992.538147,40.47000122
1702113416,21500,-996.6419678,40.75
1702113418,22500,-997.6281738,40.66999817
1702113420,23000,-999.631897,41.27000046
1702113422,24000,-1000.675171,41.91999817
1702113425,25000,-1001.585938,43.36000061
1702113426,25500,-999.6852417,43.84999847
1702113430,27000,-994.7860718,45.15000153
1702113431,27500,-992.8120117,45.56000137
1702113433,28000,-990.7327881,45.11999893
1702113434,28500,-990.8121338,45.13000107
1702113435,29000,-989.8771362,44.74000168
1702113439,30500,-986.7287598,45.13000107
1702113441,31000,-987.7896729,44.75999832
1702113443,32000,-988.0350952,45.45999908
1702113446,33000,-989.2166748,46.63999939
1702113447,33500,-983.2714233,47.02000046
1702113449,34000,-983.5579834,48.13999939
1702113450,34500,-983.9882813,49.65000153
1702113455,36000,-986.0822144,52.90000153
1702113456,36500,-984.1447144,54.72999954
1702113457,37000,-980.3734741,56.20999908
1702113459,37500,-977.3132324,57.06000137
1702113461,38500,-977.3828735,58.68000031
1702113465,40000,-980.956604,61.93999863
1702113473,42500,-984.0592651,65.33999634
1702113474,43000,-984.1835327,64.87000275
1702113476,43500,-988.0360107,64.55000305
1702113477,44000,-988.2207031,65.09999847
1702113478,44500,-988.430603,66.33000183
1702113480,45000,-990.7444458,67.83000183
1702113487,47500,-979.3041992,80.87000275
1702113498,51500,-876.791687,103.0899963
1702113502,53000,-830.9109497,113.0100021
1702113503,53500,-808.9352417,115.6999969
1702113513,57000,-646.2540283,141.3200073
1702113517,58500,-623.3026733,148.6100006
1702113520,59500,-600.1755371,155.6300049
1702113522,60000,-579.6270752,158.9600067
1702113523,60500,-558.5425415,161.5500031
1702113529,62500,-478.7932129,175.8399963
1702113531,63000,-465.4573669,177.1999969
1702113532,63500,-444.3174438,179.2700043
1702113537,65000,-387.99646,186.2100067
1702113538,65500,-367.29776,189.1300049
1702113543,67000,-299.3709717,195.6600037
1702113549,69000,-237.4283905,201.1499939
1702113551,70000,-203.7211151,203.4799957
1702113554,71000,-223.7533264,204.0899963
1702113556,71500,-229.3433075,202.6100006
1702113557,72000,-227.3172607,202.8300018
1702113558,72500,-225.7010651,201.9299927
1702113565,74500,-451.3864136,152.1199951
1702113568,75500,-569.0504761,131.7200012
1702113573,77000,-609.9112549,124.3099976
1702113574,77500,-621.4591064,122.3000031
1702113576,78000,-639.2438965,119.6600037
1702113579,79000,-761.2108765,103.4400024
1702113580,79500,-821.1908569,91.63999939
1702113582,80000,-884.3796387,74.33999634
1702113586,81500,-890.7134399,74.63999939
1702113589,82500,-899.8875122,68.84999847
1702113591,83000,-948.6959839,57.70000076
1702113594,84000,-976.6574097,51.36000061
1702113596,84500,-953.6026001,55.27000046
1702113601,86000,-938.0552979,62.08000183
1702113609,88500,-866.5018921,81.23999786
1702113610,89000,-843.812561,85.02999878
1702113611,89500,-822.980896,88.58000183
1702113615,90500,-778.3224487,96.20999908
1702113616,91000,-757.7608643,100.1999969
1702113619,92000,-713.3763428,108.0500031
1702113622,93000,-674.8291626,115.5899963
1702113624,93500,-660.6455688,119.6699982
1702113625,94000,-655.7878418,121.7799988
1702113627,94500,-653.8567505,123.9000015
1702113630,95500,-634.3364868,130.4299927
1702113631,96000,-631.4336548,132.75
1702113640,99500,-577.9403687,150.1399994
1702113646,101500,-509.7890015,161.1900024
1702113651,103500,-489.0560913,162.4799957
1702113653,104000,-475.0878296,163.6399994
1702113654,104500,-463.2204285,164.3000031
1702113660,106500,-501.8696594,159.2700043
1702113664,108000,-527.9731445,155.5800018
1702113668,109500,-530.5751343,154.6699982
1702113669,110000,-520.9411011,155.9499969
1702113673,111500,-471.56604,163.8300018
1702113675,112000,-463.5107422,166.3699951
1702113677,113000,-433.4147034,170.8999939
1702113679,113500,-461.0222778,167.3200073
1702113680,114000,-461.53125,165.4400024
1702113683,115000,-438.2474365,168.2899933
1702113684,115500,-454.1393127,166.6900024
1702113687,116500,-449.4017029,168.4700012
1702113688,117000,-428.2504578,170.3800049
1702113690,117500,-468.8123169,165.9199982
1702113694,119000,-462.2420349,167.3899994
1702113698,120500,-483.9005432,165.1499939
1702113705,123000,-449.9578552,171.6000061
1702113707,124000,-448.5760803,171.2599945
1702113710,125000,-448.6902161,173.2899933
1702113712,125500,-424.4296265,174.4100037
1702113718,128000,-353.0588379,184.5200043
1702113722,129500,-356.634552,184.1600037
1702113724,130000,-355.9692688,184.1600037
1702113725,130500,-332.7595825,186.8899994
1702113726,131000,-332.2810974,186.8899994
