Wall time,Step,Reward,Length
1702118703,174000,-978.944397,47.77000046
1702118705,174500,-976.9309082,47.83000183
1702118712,177000,-984.9570313,47.56000137
1702118713,177500,-984.9526978,47.75999832
1702118716,178500,-985.003479,47.68000031
1702118719,179500,-981.2338257,48.63000107
1702118720,180000,-980.2731934,48.65000153
1702118722,180500,-974.3001709,49.16999817
1702118726,182000,-972.4456177,49.59000015
1702118727,182500,-972.4667358,49.27999878
1702118731,184000,-976.1469727,48.25999832
1702118733,184500,-978.2130127,47.97000122
1702118736,185500,-982.0984497,47.31999969
1702118737,186000,-986.1574707,47.18999863
1702118740,187000,-982.008728,47.47000122
1702118745,189000,-984.1898193,47.27999878
1702118747,189500,-982.2321167,47.36999893
1702118748,190000,-983.3051147,47.54999924
1702118751,191000,-977.1401367,47.36000061
1702118752,191500,-979.1928101,47.09000015
1702118756,193000,-982.2696533,46.77999878
1702118758,193500,-978.1373901,46.74000168
1702118759,194000,-979.0952759,46.95000076
1702118761,194500,-978.0082397,46.88999939
1702118764,195500,-982.0276489,46.47999954
1702118765,196000,-981.956665,46.59000015
1702118766,196500,-983.0390625,46.84000015
1702118768,197000,-980.9014282,46.70000076
1702118780,201500,-973.9303589,48.16999817
1702118782,202000,-975.9326172,48.15000153
1702118785,203000,-982.7333984,47.61999893
1702118789,204500,-982.855896,47.52999878
1702118799,208000,-978.2614746,48.68000031
1702118800,208500,-979.3048706,48.83000183
1702118806,210500,-979.267334,50.52999878
1702118807,211000,-983.2203369,50.84000015
1702118808,211500,-985.24646,51.43000031
1702118811,212500,-990.421936,52.09000015
1702118814,213500,-994.4035034,50.72000122
1702118820,215500,-998.6311646,49.72999954
1702118832,220000,-993.006958,50.54999924
1702118834,220500,-993.0150146,50.25
1702118835,221000,-992.8596191,50.27000046
1702118837,221500,-988.7006226,49.50999832
1702118839,222500,-985.4331055,48.06000137
1702118841,223000,-989.4324951,47.90999985
1702118845,224500,-984.2386475,47.77000046
1702118849,226000,-985.15448,46.84000015
1702118859,229500,-977.932312,47.68999863
1702118860,230000,-975.9620361,47.79999924
1702118862,230500,-974.9782104,47.95000076
1702118863,231000,-974.934021,48.09999847
1702118866,232000,-973.0770264,48.75
1702118867,232500,-977.0264282,48.65999985
1702118869,233000,-976.9234619,48.68000031
1702118872,234000,-977.1466675,49.04000092
1702118873,234500,-974.178894,48.75
1702118874,235000,-970.1220703,49.04000092
1702118877,236000,-976.333252,49.18000031
1702118880,237000,-979.3986206,48.41999817
1702118881,237500,-980.4542236,48.25
1702118887,239500,-985.5181885,47.56999969
1702118897,243000,-970.475708,48.41999817
1702118901,244500,-973.3826294,48.86999893
1702118902,245000,-972.4666138,49.40000153
1702118905,246000,-973.4300537,49.56999969
1702118908,247000,-978.5009155,49.86000061
1702118912,248500,-984.4004517,48.83000183
1702118928,254000,-974.3869019,49.20999908
1702118932,255500,-974.4072266,48.45000076
1702118933,256000,-974.2677612,47.18999863
1702118935,256500,-974.1827393,46.93999863
1702118937,257500,-974.9557495,46.36000061
1702118940,258500,-977.9923706,46.06000137
1702118942,259000,-976.9352417,45.93999863
