Wall time,Step,Reward,Length
1701470134,3000,-984.340332,37.21250153
1701470134,3500,-983.4129028,37.4623642
1701470137,5500,-986.2622681,38.29999924
1701470137,6000,-986.1975098,37.72000122
1701470138,7000,-981.2420654,37.63999939
1701470139,7500,-981.065979,37.08000183
1701470140,8000,-982.0820923,36.40000153
1701470141,9000,-978.1412354,35.72999954
1701470141,9500,-982.1806641,35.63999939
1701470142,10000,-984.1629639,35.38000107
1701470142,10500,-990.227356,35.52000046
1701470145,12500,-992.0244141,35.49000168
1701470151,17000,-984.3597412,35.81000137
1701470151,17500,-985.2498169,35.65000153
1701470153,18500,-985.3536987,36.45000076
1701470154,20000,-986.49646,38.41999817
1701470155,20500,-988.4216309,38.95000076
1701470156,21500,-993.920166,41.50999832
1701470157,22500,-996.0526123,42.90999985
1701470158,23000,-997.239502,44.02999878
1701470160,24000,-995.8126221,46.5
1701470161,25000,-996.2539673,47.33000183
1701470161,25500,-998.3151855,47.90999985
1701470163,27000,-996.4353638,48.90000153
1701470164,27500,-996.5637817,49.36000061
1701470165,28000,-995.6083984,49.61999893
1701470165,28500,-996.9153442,50.61000061
1701470166,29000,-996.0847168,51.29000092
1701470168,30500,-995.3480835,53.72999954
1701470169,31000,-994.4044189,54.25999832
1701470170,32000,-993.435791,55.13000107
1701470172,33000,-993.5805664,56.27999878
1701470172,33500,-992.8187256,57.27999878
1701470173,34000,-992.4649048,56.43000031
1701470174,34500,-993.534668,57.88000107
1701470177,36000,-992.9050903,59.75999832
1701470177,36500,-992.9690552,60.08000183
1701470178,37000,-994.0806274,61.97000122
1701470179,37500,-993.1455688,62.84000015
1701470180,38500,-993.3771973,63.70000076
1701470183,40000,-997.4805908,64.56999969
1701470186,42500,-995.49646,67.01000214
1701470187,43000,-994.2766113,65.94999695
1701470188,43500,-993.2122803,65.47000122
1701470188,44000,-993.1195068,65.83999634
1701470189,44500,-994.552124,67.44999695
1701470190,45000,-994.34375,66.63999939
1701470193,47500,-991.7125244,67.37999725
1701470199,51500,-989.7365112,68.83999634
1701470201,53000,-989.8378906,71.30000305
1701470202,53500,-991.6130371,70.66999817
1701470207,57000,-993.0990601,73.30000305
1701470209,58500,-996.175415,75.30000305
1701470210,59500,-999.1992798,78.38999939
1701470211,60000,-1002.712708,79.38999939
1701470212,60500,-1002.157654,81.80999756
1701470215,62500,-1003.246216,93.13999939
1701470215,63000,-1002.98114,95.12999725
1701470216,63500,-999.3815308,97.09999847
1701470218,65000,-998.0771484,102.5599976
1701470219,65500,-998.2830811,103.4100037
1701470221,67000,-993.1229858,108.9499969
